log_id,text,region,language,actual_intent,actual_sentiment
LOG_0066,I AM NOT SATISFIED WITH THE SERVICE. PLEASE REFUND MY LAST PAYMENT IMMEDIATELY. MY EMAIL IS USER66@EXAMPLE.COM AND MY PHONE IS 555-0199. !!! URGENT HELP NEEDED !!!,South,Hindi,refund_request,Frustrated
LOG_0067,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,Spanish,tech_support,Frustrated
LOG_0068,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,French,login_issue,Frustrated
LOG_0069,I have a question about my invoice 7883. My credit card was charged twice.,West,French,billing,Neutral
LOG_0070,I have a question about my invoice 6763. My credit card was charged twice.,West,French,billing,Satisfied
LOG_0071,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,French,login_issue,Frustrated
LOG_0072,I am not satisfied with the service. Please refund my last payment immediately.,West,Spanish,refund_request,Neutral
LOG_0073,I have a question about my invoice 8564. My credit card was charged twice.,North,French,billing,Frustrated
LOG_0074,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,Spanish,tech_support,Frustrated
LOG_0075,I am not satisfied with the service. Please refund my last payment immediately.,West,Hindi,refund_request,Frustrated
LOG_0076,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example) My email is user76@example.com and my phone is 555-0199.,North,English,login_issue,Frustrated
LOG_0077,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,French,login_issue,Frustrated
LOG_0078,I am not satisfied with the service. Please refund my last payment immediately.,East,Spanish,refund_request,Neutral
LOG_0079,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,French,login_issue,Neutral
LOG_0080,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,English,login_issue,Neutral
LOG_0081,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,English,login_issue,Satisfied
LOG_0082,I HAVE A QUESTION ABOUT MY INVOICE 9548. MY CREDIT CARD WAS CHARGED TWICE. !!! URGENT HELP NEEDED !!!,South,French,billing,Frustrated
LOG_0083,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,French,login_issue,Frustrated
LOG_0084,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,Hindi,tech_support,Satisfied
LOG_0085,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,English,tech_support,Satisfied
LOG_0086,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example) My email is user86@example.com and my phone is 555-0199.,East,Hindi,login_issue,Neutral
LOG_0087,I AM NOT SATISFIED WITH THE SERVICE. PLEASE REFUND MY LAST PAYMENT IMMEDIATELY. !!! URGENT HELP NEEDED !!!,South,French,refund_request,Frustrated
LOG_0088,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,English,login_issue,Satisfied
LOG_0089,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),West,Hindi,login_issue,Satisfied
LOG_0090,I have a question about my invoice 8933. My credit card was charged twice.,North,Spanish,billing,Satisfied
LOG_0091,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,Spanish,tech_support,Neutral
LOG_0092,I am not satisfied with the service. Please refund my last payment immediately.,East,English,refund_request,Neutral
LOG_0093,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,French,tech_support,Frustrated
LOG_0094,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),West,English,login_issue,Frustrated
LOG_0095,I HAVE A QUESTION ABOUT MY INVOICE 5066. MY CREDIT CARD WAS CHARGED TWICE. !!! URGENT HELP NEEDED !!!,South,Hindi,billing,Frustrated
LOG_0096,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,Spanish,tech_support,Frustrated
LOG_0097,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,Hindi,tech_support,Frustrated
LOG_0098,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,Spanish,tech_support,Frustrated
LOG_0099,I have a question about my invoice 8381. My credit card was charged twice.,North,Spanish,billing,Neutral
LOG_0100,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,Hindi,login_issue,Frustrated
LOG_0101,Could you add a dark mode to the dashboard? It's too bright at night.,East,Spanish,feature_request,Frustrated
LOG_0102,I AM NOT SATISFIED WITH THE SERVICE. PLEASE REFUND MY LAST PAYMENT IMMEDIATELY. !!! URGENT HELP NEEDED !!!,South,Hindi,refund_request,Frustrated
LOG_0103,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example) My email is user103@example.com and my phone is 555-0199.,East,French,login_issue,Frustrated
LOG_0104,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,Hindi,tech_support,Neutral
LOG_0105,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,English,tech_support,Satisfied
LOG_0106,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,French,login_issue,Frustrated
LOG_0107,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,Hindi,login_issue,Frustrated
LOG_0108,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,English,tech_support,Satisfied
LOG_0109,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,French,tech_support,Satisfied
LOG_0110,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,Spanish,tech_support,Satisfied
LOG_0111,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,English,login_issue,Satisfied
LOG_0112,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,Spanish,login_issue,Satisfied
LOG_0113,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,Hindi,login_issue,Frustrated
LOG_0114,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,Spanish,tech_support,Frustrated
LOG_0115,I am not satisfied with the service. Please refund my last payment immediately.,West,Hindi,refund_request,Satisfied
LOG_0116,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,French,tech_support,Frustrated
LOG_0117,I am not satisfied with the service. Please refund my last payment immediately.,West,French,refund_request,Satisfied
LOG_0118,I am not satisfied with the service. Please refund my last payment immediately.,North,Hindi,refund_request,Neutral
LOG_0119,I have a question about my invoice 6439. My credit card was charged twice.,West,English,billing,Satisfied
LOG_0120,I have a question about my invoice 3361. My credit card was charged twice.,North,French,billing,Neutral
LOG_0121,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,French,tech_support,Neutral
LOG_0122,I am not satisfied with the service. Please refund my last payment immediately.,East,French,refund_request,Neutral
LOG_0123,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,Spanish,login_issue,Satisfied
LOG_0124,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,Hindi,tech_support,Frustrated
LOG_0125,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,Hindi,tech_support,Neutral
LOG_0126,I HAVE A QUESTION ABOUT MY INVOICE 7267. MY CREDIT CARD WAS CHARGED TWICE. !!! URGENT HELP NEEDED !!!,South,Spanish,billing,Frustrated
LOG_0127,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,French,tech_support,Frustrated
LOG_0128,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,French,tech_support,Neutral
LOG_0129,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,French,login_issue,Satisfied
LOG_0130,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,Spanish,login_issue,Satisfied
LOG_0131,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,English,login_issue,Neutral
LOG_0132,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,Hindi,tech_support,Frustrated
LOG_0133,COULD YOU ADD A DARK MODE TO THE DASHBOARD? IT'S TOO BRIGHT AT NIGHT. !!! URGENT HELP NEEDED !!!,South,Hindi,feature_request,Frustrated
LOG_0134,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,Hindi,tech_support,Frustrated
LOG_0135,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,Hindi,tech_support,Satisfied
LOG_0136,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,Spanish,login_issue,Satisfied
LOG_0137,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,French,tech_support,Satisfied
LOG_0138,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,English,tech_support,Satisfied
LOG_0139,I have a question about my invoice 4830. My credit card was charged twice.,West,Hindi,billing,Satisfied
LOG_0140,I AM NOT SATISFIED WITH THE SERVICE. PLEASE REFUND MY LAST PAYMENT IMMEDIATELY. !!! URGENT HELP NEEDED !!!,South,English,refund_request,Frustrated
LOG_0141,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,English,login_issue,Frustrated
LOG_0142,I am not satisfied with the service. Please refund my last payment immediately.,West,Hindi,refund_request,Frustrated
LOG_0143,I am not satisfied with the service. Please refund my last payment immediately.,West,English,refund_request,Frustrated
LOG_0144,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,Spanish,tech_support,Satisfied
LOG_0145,Could you add a dark mode to the dashboard? It's too bright at night. My email is user145@example.com and my phone is 555-0199.,North,French,feature_request,Frustrated
LOG_0146,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,English,tech_support,Neutral
LOG_0147,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,Spanish,tech_support,Frustrated
LOG_0148,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,Hindi,tech_support,Frustrated
LOG_0149,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. MY EMAIL IS USER149@EXAMPLE.COM AND MY PHONE IS 555-0199. !!! URGENT HELP NEEDED !!!,South,English,tech_support,Frustrated
LOG_0150,I HAVE A QUESTION ABOUT MY INVOICE 5347. MY CREDIT CARD WAS CHARGED TWICE. MY EMAIL IS USER150@EXAMPLE.COM AND MY PHONE IS 555-0199. !!! URGENT HELP NEEDED !!!,South,Hindi,billing,Frustrated
LOG_0151,I am not satisfied with the service. Please refund my last payment immediately.,West,English,refund_request,Neutral
LOG_0152,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,French,tech_support,Satisfied
LOG_0153,I am not satisfied with the service. Please refund my last payment immediately.,North,French,refund_request,Frustrated
LOG_0154,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,French,login_issue,Frustrated
LOG_0155,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,Spanish,login_issue,Neutral
LOG_0156,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,French,tech_support,Satisfied
LOG_0157,The application keeps crashing on my mobile device. I tried restarting but it didn't help. My email is user157@example.com and my phone is 555-0199.,North,English,tech_support,Neutral
LOG_0158,Could you add a dark mode to the dashboard? It's too bright at night.,North,Hindi,feature_request,Neutral
LOG_0159,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,Hindi,login_issue,Frustrated
LOG_0160,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,Hindi,tech_support,Satisfied
LOG_0161,I have a question about my invoice 5477. My credit card was charged twice.,North,Hindi,billing,Satisfied
LOG_0162,I have a question about my invoice 3347. My credit card was charged twice.,East,English,billing,Neutral
LOG_0163,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,English,tech_support,Satisfied
LOG_0164,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example) My email is user164@example.com and my phone is 555-0199.,East,Hindi,login_issue,Frustrated
LOG_0165,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,English,login_issue,Frustrated
LOG_0166,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,Hindi,tech_support,Satisfied
LOG_0167,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,Spanish,login_issue,Frustrated
LOG_0168,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,Hindi,tech_support,Frustrated
LOG_0169,I have a question about my invoice 9725. My credit card was charged twice.,West,Spanish,billing,Satisfied
LOG_0170,The application keeps crashing on my mobile device. I tried restarting but it didn't help. My email is user170@example.com and my phone is 555-0199.,North,French,tech_support,Satisfied
LOG_0171,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example) My email is user171@example.com and my phone is 555-0199.,West,French,login_issue,Satisfied
LOG_0172,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,English,tech_support,Neutral
LOG_0173,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,Hindi,tech_support,Frustrated
LOG_0174,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,Spanish,tech_support,Neutral
LOG_0175,I HAVE A QUESTION ABOUT MY INVOICE 4232. MY CREDIT CARD WAS CHARGED TWICE. !!! URGENT HELP NEEDED !!!,South,English,billing,Frustrated
LOG_0176,I HAVE A QUESTION ABOUT MY INVOICE 9095. MY CREDIT CARD WAS CHARGED TWICE. !!! URGENT HELP NEEDED !!!,South,English,billing,Frustrated
LOG_0177,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example) My email is user177@example.com and my phone is 555-0199.,West,Hindi,login_issue,Satisfied
LOG_0178,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,English,tech_support,Frustrated
LOG_0179,I have a question about my invoice 2479. My credit card was charged twice.,East,Hindi,billing,Satisfied
LOG_0180,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,French,login_issue,Neutral
LOG_0181,I am not satisfied with the service. Please refund my last payment immediately.,West,English,refund_request,Frustrated
LOG_0182,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),West,French,login_issue,Satisfied
LOG_0183,I have a question about my invoice 2548. My credit card was charged twice.,North,Hindi,billing,Satisfied
LOG_0184,I HAVE A QUESTION ABOUT MY INVOICE 3317. MY CREDIT CARD WAS CHARGED TWICE. !!! URGENT HELP NEEDED !!!,South,Hindi,billing,Frustrated
LOG_0185,I have a question about my invoice 2388. My credit card was charged twice.,East,French,billing,Satisfied
LOG_0186,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,English,login_issue,Frustrated
LOG_0187,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,Spanish,login_issue,Frustrated
LOG_0188,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,English,login_issue,Frustrated
LOG_0189,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,Hindi,login_issue,Frustrated
LOG_0190,I HAVE A QUESTION ABOUT MY INVOICE 6968. MY CREDIT CARD WAS CHARGED TWICE. !!! URGENT HELP NEEDED !!!,South,French,billing,Frustrated
LOG_0191,I AM NOT SATISFIED WITH THE SERVICE. PLEASE REFUND MY LAST PAYMENT IMMEDIATELY. !!! URGENT HELP NEEDED !!!,South,French,refund_request,Frustrated
LOG_0192,I am not satisfied with the service. Please refund my last payment immediately.,West,Spanish,refund_request,Satisfied
LOG_0193,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,Spanish,tech_support,Frustrated
LOG_0194,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,Hindi,tech_support,Satisfied
LOG_0195,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,Spanish,login_issue,Neutral
LOG_0196,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),West,Hindi,login_issue,Neutral
LOG_0197,I have a question about my invoice 2623. My credit card was charged twice.,East,Spanish,billing,Neutral
LOG_0198,I AM NOT SATISFIED WITH THE SERVICE. PLEASE REFUND MY LAST PAYMENT IMMEDIATELY. !!! URGENT HELP NEEDED !!!,South,English,refund_request,Frustrated
LOG_0199,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,English,tech_support,Frustrated
LOG_0200,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,English,tech_support,Frustrated
LOG_0201,I have a question about my invoice 9189. My credit card was charged twice.,West,English,billing,Frustrated
LOG_0202,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,Spanish,tech_support,Frustrated
LOG_0203,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,Spanish,tech_support,Frustrated
LOG_0204,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,French,tech_support,Neutral
LOG_0205,I am not satisfied with the service. Please refund my last payment immediately.,East,English,refund_request,Neutral
LOG_0206,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,Hindi,tech_support,Satisfied
LOG_0207,I HAVE A QUESTION ABOUT MY INVOICE 8498. MY CREDIT CARD WAS CHARGED TWICE. MY EMAIL IS USER207@EXAMPLE.COM AND MY PHONE IS 555-0199. !!! URGENT HELP NEEDED !!!,South,Spanish,billing,Frustrated
LOG_0208,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,English,login_issue,Frustrated
LOG_0209,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),West,French,login_issue,Satisfied
LOG_0210,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,English,login_issue,Satisfied
